,cefi_A,q_A,delta_J_liu,q_liu,cefi_svd,q_svd,cefi_B,q_B,subspace_dist,objective_gap
1998-12-22,0.3842301157200129,1,0.004866700201872659,15,0.4209250461421935,1,0.022426634671803947,11,1.4138354003752767,0.03669493042218058
1999-01-07,0.3929046317286464,1,0.00295744254610783,21,0.42372443285525696,1,0.051124407305153524,8,1.4131958828486042,0.030819801126610535
1999-01-22,0.3539157981740816,1,0.002461546267419873,19,0.4305352503686841,1,0.02939276065511731,10,1.4073678343828557,0.07661945219460253
1999-02-05,0.33791327072579624,1,0.005230693612300996,19,0.44954426408581083,1,0.016294392354276488,17,1.4139743530937896,0.11163099336001459
1999-02-22,0.3678843340796189,1,0.003525890469310816,8,0.4477777622418031,1,0.029907565881368142,8,1.4141534406188414,0.0798934281621842
1999-03-08,0.32742486878566346,1,0.001071834682108641,26,0.43138266115270674,1,0.02441310648522038,6,1.413983396085479,0.10395779236704328
1999-03-22,0.33916408500558665,1,0.0013377354925417917,25,0.41257362306067547,1,0.01846669128925807,12,1.4140392709523724,0.07340953805508882
1999-04-06,0.34093713977101525,1,0.003157991405748961,13,0.39995021895991334,1,0.02322032743169425,13,1.413030257347268,0.05901307918889809
1999-04-20,0.3366199836067739,1,0.0008279399094947293,24,0.3489248843145098,1,0.019465574011868103,11,1.4084559260974225,0.012304900707735877
1999-05-04,0.30327286537922404,1,-0.0006708800573086704,26,0.3291031427061249,1,0.0072056450564211005,11,1.4137921615006612,0.025830277326900852
1999-05-18,0.27967441272679894,1,0.0005341650455598368,29,0.32727303294931864,1,0.00825176989434201,14,1.4118425046886747,0.047598620222519705
1999-06-02,0.2926134254635448,1,0.0018159470913418907,28,0.3275264571430667,1,0.012442804878896485,9,1.4115602628520618,0.03491303167952192
1999-06-16,0.2451855527245471,1,-0.0004930631101718874,28,0.349820997493955,1,0.018758069037529773,5,1.4081229853766457,0.10463544476940792
1999-06-30,0.2578968777190658,1,-0.0008806527061020475,29,0.35984492045828237,1,0.009255207992445474,15,1.4079555869570577,0.1019480427392166
1999-07-15,0.26314405624223547,1,0.0012502801898192778,25,0.34297995694276145,1,0.008116766453606969,22,1.3957938622562969,0.07983590070052599
1999-07-29,0.2573313348174865,1,0.00018379092204728886,29,0.33881897638383107,1,0.00837672189370528,14,1.394816439914266,0.08148764156634458
1999-08-12,0.22666115649408053,1,0.0014176709934393683,25,0.3580098910920453,1,0.01180351802032796,7,1.3988946893950325,0.13134873459796476
1999-08-26,0.2175068942161863,1,-3.0086850038024693e-05,28,0.3638174397223292,1,0.004937724086898229,11,1.3938828066163773,0.14631054550614292
